Titolo,Ora,Ultimo,Var %,Apertura,Min - Max
Bot Zc Apr26 A Eur,16.54,98.339,-0.02%,98.392,98.329 - 98.392
Bot Zc Aug25 A Eur,17.18,99.641,+0.01%,99.652,99.641 - 99.652
Bot Zc Dec25 A Eur,17.05,99.01,0.00%,99.024,99.01 - 99.036
Bot Zc Feb26 A Eur,16.32,98.665,-0.01%,98.697,98.665 - 98.699
Bot Zc Jan26 A Eur,17.21,98.814,-0.09%,98.849,98.814 - 98.855
Bot Zc Jul25 A Eur,16.44,99.814,+0.02%,99.815,99.809 - 99.818
Bot Zc Jul25 S Eur,15.16,99.717,+0.02%,99.711,99.711 - 99.722
Bot Zc Jun25 A Eur,17.03,99.977,+0.02%,99.977,99.977 - 99.98
Bot Zc Mar26 A Eur,16.54,98.515,-0.03%,98.548,98.498 - 98.568
Bot Zc May25 A Eur,09/05,99.988,0.00%,0,---
Bot Zc May25 S Eur,27/05,99.992,0.00%,0,---
Bot Zc May26 A Eur,17.17,98.17,-0.04%,98.226,98.17 - 98.242
Bot Zc Nov25 A Eur,16.33,99.165,+0.01%,99.178,99.165 - 99.183
Bot Zc Nov25 S Eur,16.53,99.062,+0.01%,99.075,99.057 - 99.076
Bot Zc Oct25 A Eur,17.16,99.334,+0.26%,99.341,99.327 - 99.345
Bot Zc Sep25 A Eur,17.15,99.483,+0.01%,99.484,99.483 - 99.499
Bot Zc Sep25 S Eur,17.03,99.39,+0.01%,99.399,99.39 - 99.402
