Data,Tipo,Tasso Interesse
11/06/2025,Tasso BCE,2.15%
23/04/2025,Tasso BCE,2.40%
05/02/2025,Tasso BCE,2.90%
18/12/2024,Tasso BCE,3.15%
23/10/2024,Tasso BCE,3.40%
18/09/2024,Tasso BCE,3.65%
12/06/2024,Tasso BCE,4.25%
20/09/2023,Tasso BCE,4.50%
02/08/2023,Tasso BCE,4.25%
21/06/2023,Tasso BCE,4.00%
10/05/2023,Tasso BCE,3.75%
22/03/2023,Tasso BCE,3.50%
08/02/2023,Tasso BCE,3.00%
21/12/2022,Tasso BCE,2.50%
02/11/2022,Tasso BCE,2.00%
14/09/2022,Tasso BCE,1.25%
27/07/2022,Tasso BCE,0.50%
18/09/2019,Tasso BCE,0.00%
16/03/2016,Tasso BCE,0.00%
09/12/2015,Tasso BCE,0.01%
10/09/2014,Tasso BCE,0.01%
11/06/2014,Tasso BCE,0.15%
13/11/2013,Tasso BCE,0.25%
08/05/2013,Tasso BCE,0.50%
11/07/2012,Tasso BCE,0.75%
14/12/2011,Tasso BCE,1.00%
09/11/2011,Tasso BCE,1.25%
13/07/2011,Tasso BCE,1.50%
13/04/2011,Tasso BCE,1.25%
13/05/2009,Tasso BCE,1.00%
08/04/2009,Tasso BCE,1.25%
11/03/2009,Tasso BCE,1.50%
21/01/2009,Tasso BCE,2.00%
10/12/2008,Tasso BCE,2.50%
12/11/2008,Tasso BCE,3.25%
15/10/2008,Tasso BCE,3.75%
09/07/2008,Tasso BCE,4.25%
13/06/2007,Tasso BCE,4.00%
14/03/2007,Tasso BCE,3.75%
13/12/2006,Tasso BCE,3.50%
11/10/2006,Tasso BCE,3.25%
09/08/2006,Tasso BCE,3.00%
15/06/2006,Tasso BCE,2.75%
08/03/2006,Tasso BCE,2.50%
06/12/2005,Tasso BCE,2.25%
09/06/2003,Tasso Banca D'Italia,2.00%
12/03/2003,Tasso Banca D'Italia,2.50%
11/12/2002,Tasso Banca D'Italia,2.75%
14/11/2001,Tasso Banca D'Italia,3.25%
19/09/2001,Tasso Banca D'Italia,3.75%
05/09/2001,Tasso Banca D'Italia,4.25%
15/05/2001,Tasso Banca D'Italia,4.50%
11/10/2000,Tasso Banca D'Italia,4.75%
06/09/2000,Tasso Banca D'Italia,4.50%
15/06/2000,Tasso Banca D'Italia,4.25%
04/05/2000,Tasso Banca D'Italia,3.75%
22/03/2000,Tasso Banca D'Italia,3.50%
09/02/2000,Tasso Banca D'Italia,3.25%
10/11/1999,Tasso Banca D'Italia,3.00%
14/04/1999,Tasso Banca D'Italia,2.50%
01/01/1999,Tasso Banca D'Italia,3.00%
